,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
21,Ahmed Alaaeldin,FW,qa Qatar,29,1.qa Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,74fbbb3c
22,Jordi Alba,DF,es Spain,33,1.es Barcelona,1989,4,3,264,2.9,0,2,2,0,0,0,0,0,0.0,0.0,0.9,0.9,4,31,30,0.00,0.68,0.68,0.00,0.68,0.01,0.31,0.32,0.01,0.32,Matches,4601e194
23,Toby Alderweireld,DF,be Belgium,33,1.be Antwerp,1989,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,13,1,0.00,0.33,0.33,0.00,0.33,0.00,0.11,0.11,0.00,0.11,Matches,f7d50789
24,Trent Alexander-Arnold,DF,eng England,23,1.eng Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cd1acf9d
25,Almoez Ali,FW,qa Qatar,25,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,2,8,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches,bae045a9
26,Alisson,GK,br Brazil,29,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7a2e46a8
27,Joe Allen,MF,wls Wales,32,2.eng Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15,Matches,9feb8f24
28,Thiago Almada,MF,ar Argentina,21,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,3.16,3.16,0.00,3.16,Matches,27f33438
29,Roberto Alvarado,FW,mx Mexico,23,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ff871e14
30,Edson ?lvarez,MF,mx Mexico,24,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches,8b3ab7ad
31,Juli?n ?lvarez,FW,ar Argentina,22,1.eng Manchester City,2000,7,5,464,5.2,4,0,4,4,0,0,0,0,2.6,2.6,0.1,2.7,13,5,22,0.78,0.00,0.78,0.78,0.78,0.51,0.02,0.53,0.51,0.53,Matches,15ab5a2b
32,Kevin ?lvarez,DF,mx Mexico,23,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,636b0833
33,Dani Alves,DF,br Brazil,39,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,4,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,c9e99e49
34,Selim Amallah,MF,ma Morocco,25,1.be Standard Li?ge,1996,7,4,409,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,4,7,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches,00eba9c9
35,Daniel Amartey,DF,gh Ghana,27,1.eng Leicester City,1994,3,3,251,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,0,9,1,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.10,0.08,0.10,Matches,1a4ef233
36,Ethan Ampadu,MFDF,wls Wales,21,1.it Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,4,17,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,10b9fa99
37,Sofyan Amrabat,MF,ma Morocco,25,1.it Fiorentina,1996,7,7,660,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,9,28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,5a2cb25d
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,3,2,182,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,13,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,fd0affe3
39,Joachim Andersen,DF,dk Denmark,26,1.eng Crystal Palace,1996,3,3,270,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,7,24,0,0.00,0.33,0.33,0.00,0.33,0.03,0.08,0.11,0.03,0.11,Matches,e34fc66d
40,Karim Ansarifard,FWMF,ir IR Iran,32,1.cy AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.36,0.17,0.36,Matches,50cddd19
41,Antony,FW,br Brazil,22,1.eng Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,8,7,20,0.00,0.00,0.00,0.00,0.00,0.15,0.08,0.22,0.15,0.22,Matches,99127249
42,Uriel Antuna,FWMF,mx Mexico,24,1.mx Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,0,14,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches,a35f5848
