,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
95,Mois?s Caicedo,MF,ec Ecuador,20,1.eng Brighton,2001,3,3,269,3.0,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,5,10,2,0.33,0.00,0.33,0.33,0.33,0.17,0.00,0.17,0.17,0.17,Matches,16264a81
96,Francisco Calvo,DF,cr Costa Rica,29,1.tr Konyaspor,1992,2,2,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,706bd23f
97,Eduardo Camavinga,DF,fr France,19,1.es Real Madrid,2002,2,1,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,7b9c2d84
98,Joel Campbell,FWMF,cr Costa Rica,29,1.mx Le?n,1992,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,12,11,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,895ff3ca
99,Jo?o Cancelo,DF,pt Portugal,28,1.eng Manchester City,1994,4,3,310,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,19,23,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,bd6351cd
100,Agust?n Canobbio,MF,uy Uruguay,23,1.br Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4f5a2f38
101,Yannick Carrasco,FWDF,be Belgium,28,1.es Atl?tico Madrid,1993,2,2,116,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5,3,11,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches,de39485a
102,Cameron Carter-Vickers,DF,us United States,24,1.sct Celtic,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,88ced02c
103,Dani Carvajal,DF,es Spain,30,1.es Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4958bfb2
104,William Carvalho,MF,pt Portugal,30,1.es Betis,1992,4,2,215,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,16,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,dee86451
105,Casemiro,MF,br Brazil,30,1.eng Manchester Utd,1992,4,4,390,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.6,3,23,6,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches,4d224fe8
106,Matty Cash,DF,pl Poland,24,1.eng Aston Villa,1997,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,9,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,2389cdc2
107,Timothy Castagne,DF,be Belgium,26,1.eng Leicester City,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,18,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,197640fd
108,Jean-Charles Castelletto,DF,cm Cameroon,27,1.fr Nantes,1995,2,2,180,2.0,1,1,2,1,0,0,0,0,0.9,0.9,0.3,1.2,3,8,0,0.50,0.50,1.00,0.50,1.00,0.47,0.15,0.62,0.47,0.62,Matches,e0f3a1f6
109,Lucas Cavallini,FW,ca Canada,29,1.us Vancouver,1992,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,dd8de641
110,Edinson Cavani,FW,uy Uruguay,35,1.es Valencia,1987,3,1,124,1.4,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,1,3,5,0.00,0.00,0.00,0.00,0.00,0.21,0.50,0.71,0.21,0.71,Matches,527f063d
111,Ghayl?ne Chaalali,MF,tn Tunisia,28,1.tn Esp?rance de Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fb3f920a
112,Daniel Chac?n,MF,cr Costa Rica,21,1.cr CS Cartagin?s,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,065a00d5
113,Ilias Chair,MF,ma Morocco,24,2.eng QPR,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ad7873cb
114,Kwon Chang-hoon,FWMF,kr Korea Republic,27,1.kr Sangju Sangmu,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,Matches,7961f7aa
115,Luis Ch?vez,MF,mx Mexico,26,1.mx Pachuca,1996,3,3,270,3.0,1,0,1,1,0,0,0,0,0.3,0.3,0.5,0.7,2,18,5,0.33,0.00,0.33,0.33,0.33,0.10,0.15,0.25,0.10,0.25,Matches,e50949ea
116,Walid Cheddira,FW,ma Morocco,24,2.it Bari,1998,2,0,64,0.7,0,0,0,0,0,0,2,1,0.5,0.5,0.0,0.5,1,3,4,0.00,0.00,0.00,0.00,0.00,1.24,0.00,1.24,1.24,1.24,Matches,0545a08e
117,Roozbeh Cheshmi,DFMF,ir IR Iran,28,1.ir Esteghlal,1993,2,1,58,0.6,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,1.55,0.00,1.55,1.55,1.55,0.08,0.00,0.08,0.08,0.08,Matches,87c75fb3
118,Andreas Christensen,DF,dk Denmark,26,1.es Barcelona,1996,3,3,270,3.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,2,20,1,0.33,0.00,0.33,0.33,0.33,0.12,0.00,0.12,0.12,0.12,Matches,1cb49278
119,Hong Chul,DF,kr Korea Republic,31,1.kr Daegu,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,c7de2245
120,Jos? Cifuentes,MF,ec Ecuador,23,1.us Los Angeles FC,1999,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,8c8c07a7
121,Path? Ciss,MF,sn Senegal,28,1.es Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,9a0408b6
122,Sebasti?n Coates,DF,uy Uruguay,31,1.pt Sporting CP,1990,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,7,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,1fbbfbde
123,Rubin Colwill,MF,wls Wales,20,2.eng Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches,f170b63e
124,Kingsley Coman,FWMF,fr France,26,1.de Bayern Munich,1996,6,1,169,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7,1,18,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15,Matches,042e8a49
125,Eray C?mert,DF,ch Switzerland,24,1.es Valencia,1998,2,0,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,15937e17
126,Anthony Contreras,FWMF,cr Costa Rica,22,1.cr Club Sport Herediano,2000,3,2,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,d05ca2cc
127,Andreas Cornelius,FW,dk Denmark,29,1.dk FC Copenhagen,1993,3,1,92,1.0,0,0,0,0,0,0,1,0,1.0,1.0,0.1,1.1,1,1,13,0.00,0.00,0.00,0.00,0.00,1.00,0.09,1.09,1.00,1.09,Matches,c693347d
128,?ngel Correa,MF,ar Argentina,27,1.es Atl?tico Madrid,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,01eb744d
129,Diogo Costa,GK,pt Portugal,22,1.pt Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,93fffbcf
130,Thibaut Courtois,GK,be Belgium,30,1.es Real Madrid,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1840e36d
131,Jason Cummings,FW,au Australia,26,1.au Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e28fbd0e
132,Aymen Dahmen,GK,tn Tunisia,25,1.tn CS Sfaxien,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8bf49030
133,Diogo Dalot,DF,pt Portugal,23,1.eng Manchester Utd,1999,3,3,258,2.9,0,2,2,0,0,0,0,0,0.0,0.0,0.7,0.8,6,10,12,0.00,0.70,0.70,0.00,0.70,0.01,0.25,0.27,0.01,0.27,Matches,d9565625
134,Mikkel Damsgaard,MFFW,dk Denmark,21,1.eng Brentford,2000,3,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,10,9,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches,215f3907
135,Danilo,DF,br Brazil,30,1.it Juventus,1991,3,3,281,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,25,16,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,94b2001f
136,Achraf Dari,DF,ma Morocco,23,1.fr Brest,1999,3,2,187,2.1,1,0,1,1,0,0,1,0,0.6,0.6,0.0,0.6,0,3,0,0.48,0.00,0.48,0.48,0.48,0.30,0.00,0.30,0.30,0.30,Matches,5069b796
137,Jonathan David,FWMF,ca Canada,22,1.fr Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0,0,1.0,0.7,0.0,0.7,4,7,17,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.35,0.35,Matches,ce50fd99
138,Alphonso Davies,MFDF,ca Canada,21,1.de Bayern Munich,2000,3,3,270,3.0,1,0,1,1,0,1,1,0,1.1,0.3,0.5,0.8,11,3,20,0.33,0.00,0.33,0.33,0.33,0.36,0.17,0.53,0.09,0.27,Matches,d781d855
139,Ben Davies,DF,wls Wales,29,1.eng Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,13,2,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches,44781702
140,Nasser Al-Dawsari,FW,sa Saudi Arabia,23,1.sa Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.27,1.27,0.00,1.27,Matches,7709e4a6
141,Salem Al-Dawsari,MF,sa Saudi Arabia,30,1.sa Al-Hilal,1991,3,3,270,3.0,2,0,2,2,0,1,1,0,1.8,1.0,0.2,1.2,8,14,20,0.67,0.00,0.67,0.67,0.67,0.59,0.08,0.67,0.32,0.40,Matches,60ee859c
142,Giorgian De Arrascaeta,MF,uy Uruguay,28,1.br Flamengo,1994,2,1,108,1.2,2,0,2,2,0,0,0,0,1.2,1.2,0.5,1.7,1,5,14,1.67,0.00,1.67,1.67,1.67,1.01,0.45,1.45,1.01,1.45,Matches,be8d02dd
143,Kevin De Bruyne,FWMF,be Belgium,30,1.eng Manchester City,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,9,28,22,0.00,0.00,0.00,0.00,0.00,0.08,0.30,0.38,0.08,0.38,Matches,e46012d4
144,Charles De Ketelaere,FW,be Belgium,21,1.it Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2ef7c612
145,Nicol?s De La Cruz,MF,uy Uruguay,25,1.ar River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,8fda5c72
146,Rodrigo De Paul,MF,ar Argentina,28,1.es Atl?tico Madrid,1994,7,7,599,6.7,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,16,37,20,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.19,0.14,0.19,Matches,162efffd
147,Milo? Degenek,DF,au Australia,28,1.us Columbus Crew,1994,4,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c8e65157
148,Thomas Delaney,MF,dk Denmark,30,1.es Sevilla,1991,1,1,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fe641c1a
149,Ousmane Demb?l?,FW,fr France,25,1.es Barcelona,1997,7,6,433,4.8,0,2,2,0,0,0,1,0,0.5,0.5,1.6,2.1,23,15,45,0.00,0.42,0.42,0.00,0.42,0.10,0.34,0.44,0.10,0.44,Matches,b19db005
150,Leander Dendoncker,DFMF,be Belgium,27,1.eng Aston Villa,1995,2,2,161,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,2,10,1,0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.25,0.05,0.25,Matches,5a7301ae
151,Sergi?o Dest,DF,us United States,21,1.it Milan,2000,4,4,305,3.4,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,11,18,12,0.00,0.30,0.30,0.00,0.30,0.07,0.15,0.22,0.07,0.22,Matches,5976f83e
152,?ngel Di Mar?a,MFFW,ar Argentina,34,1.it Juventus,1988,5,4,288,3.2,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.3,23,20,60,0.31,0.31,0.62,0.31,0.62,0.21,0.20,0.41,0.21,0.41,Matches,19cda00b
153,Boulaye Dia,FW,sn Senegal,25,1.it Salernitana,1996,4,4,318,3.5,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.8,4,3,19,0.28,0.00,0.28,0.28,0.28,0.21,0.01,0.22,0.21,0.22,Matches,244bc2c8
154,Abdou Diallo,DF,sn Senegal,26,1.de RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,fc62f087
155,R?ben Dias,DF,pt Portugal,25,1.eng Manchester City,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,12,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,31c69ef1
156,Kr?pin Diatta,FWMF,sn Senegal,23,1.fr Monaco,1999,3,3,181,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,5,10,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.16,0.06,0.16,Matches,8104e41e
157,Famara Diedhiou,FW,sn Senegal,29,1.tr Alanyaspor,1992,2,1,92,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.98,0.00,0.98,0.98,0.98,0.19,0.03,0.22,0.19,0.22,Matches,e447352c
158,Bamba Dieng,FW,sn Senegal,22,1.fr Marseille,2000,4,0,100,1.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,0,0,3,0.90,0.00,0.90,0.90,0.90,0.45,0.05,0.50,0.45,0.50,Matches,40774c6b
159,Eric Dier,DF,eng England,28,1.eng Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ac861941
160,Axel Disasi,DF,fr France,24,1.fr Monaco,1998,3,1,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,ad82197c
161,Alexander Djiku,DFFW,gh Ghana,27,1.fr Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,43e7a164
162,Ritsu Doan,FW,jp Japan,23,1.de Freiburg,1998,4,2,217,2.4,2,0,2,2,0,0,0,0,0.5,0.5,0.2,0.7,1,7,6,0.83,0.00,0.83,0.83,0.83,0.21,0.07,0.28,0.21,0.28,Matches,d01bbb6f
163,Jeremy Doku,MFFW,be Belgium,20,1.fr Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fffea3e5
164,Kasper Dolberg,FW,dk Denmark,24,1.es Sevilla,1997,3,1,114,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0,3,14,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.37,0.31,0.37,Matches,cc83b74d
165,Mohamed Dr?ger,DF,tn Tunisia,25,1.ch Luzern,1996,2,2,132,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,4,9,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15,Matches,8954fddc
166,?scar Duarte,DF,cr Costa Rica,33,1.sa Al-Wehda,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches,aa0ac32d
167,Mitchell Duke,FW,au Australia,31,2.jp Fagi Okayama,1991,4,4,270,3.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,3,9,0.33,0.00,0.33,0.33,0.33,0.12,0.01,0.13,0.12,0.13,Matches,293f5bf9
168,Denzel Dumfries,DF,nl Netherlands,26,1.it Inter,1996,5,5,479,5.3,1,2,3,1,0,0,2,1,0.4,0.4,0.3,0.7,12,14,37,0.19,0.38,0.56,0.19,0.56,0.08,0.06,0.14,0.08,0.14,Matches,481c9ece
169,Paulo Dybala,FW,ar Argentina,28,1.it Roma,1993,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,4,0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.03,0.00,1.03,Matches,e0921a4f
170,Enzo Ebosse,DF,cm Cameroon,23,1.it Udinese,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9ba7b4fa
171,Ederson,GK,br Brazil,28,1.eng Manchester City,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3bb7b8b4
172,Jorge Eduardo S?nchez,DF,mx Mexico,24,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,14,13,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,c8d1c3a5
173,Nico Elvedi,DF,ch Switzerland,25,1.de M'Gladbach,1996,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,7,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,48035304
174,Breel Embolo,FW,ch Switzerland,25,1.fr Monaco,1997,4,4,323,3.6,2,0,2,2,0,0,0,0,2.3,2.3,0.1,2.4,7,5,18,0.56,0.00,0.56,0.56,0.56,0.64,0.03,0.67,0.64,0.67,Matches,0b4f388a
175,Youssef En-Nesyri,FW,ma Morocco,25,1.es Sevilla,1997,7,7,542,6.0,2,0,2,2,0,0,0,0,1.2,1.2,0.0,1.3,2,1,14,0.33,0.00,0.33,0.33,0.33,0.21,0.01,0.21,0.21,0.21,Matches,04e17fd5
176,Wataru Endo,MF,jp Japan,29,1.de Stuttgart,1993,4,3,304,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.6,3,17,6,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21,Matches,c149016b
177,Devis Epassy,GK,cm Cameroon,29,1.sa Abha,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e171b085
178,Christian Eriksen,MF,dk Denmark,30,1.eng Manchester Utd,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,5,21,18,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.20,0.06,0.20,Matches,980522ec
179,Michael Estrada,FW,ec Ecuador,26,1.mx Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,9,7,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13,Matches,773f5f12
180,Pervis Estupi??n,DF,ec Ecuador,24,1.eng Brighton,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,4,12,17,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches,d38fdf53
181,Stephen Eust?quio,MF,ca Canada,25,1.pt Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0,14,2,0.00,0.00,0.00,0.00,0.00,0.13,0.11,0.24,0.13,0.24,Matches,577efaec
182,Saeid Ezatolahi,MF,ir IR Iran,25,2.dk Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,5,1,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches,314d95ac
183,Abdessamad Ezzalzouli,FWMF,ma Morocco,20,1.es Osasuna,2001,3,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,1,2,6,0.00,0.00,0.00,0.00,0.00,0.09,0.39,0.49,0.09,0.49,Matches,bed68338
184,Fabinho,MF,br Brazil,28,1.eng Liverpool,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f3b388c
185,Collins Fai,DF,cm Cameroon,29,1.sa Al-Ta'ee,1992,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,5,11,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,46e58246
186,Salman Al-Faraj,MF,sa Saudi Arabia,32,1.sa Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,df145034
187,Christian Fassnacht,FW,ch Switzerland,28,1.ch Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,3,0.00,0.00,0.00,0.00,0.00,2.58,0.00,2.58,2.58,2.58,Matches,0aeeed3f
188,Abdul Fatawu Issahaku,FW,gh Ghana,18,1.pt Sporting CP,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,bceda5ff
189,Ansu Fati,FW,es Spain,19,1.es Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0ba976e4
190,Jo?o F?lix,FW,pt Portugal,22,1.es Atl?tico Madrid,1999,4,4,331,3.7,1,2,3,1,0,0,1,0,0.8,0.8,0.4,1.3,10,10,24,0.27,0.54,0.82,0.27,0.82,0.23,0.11,0.34,0.23,0.34,Matches,8aafd64f
191,Bruno Fernandes,FWMF,pt Portugal,27,1.eng Manchester Utd,1994,4,4,356,4.0,2,3,5,1,1,1,1,0,1.1,0.3,1.7,2.1,10,31,25,0.51,0.76,1.26,0.25,1.01,0.28,0.44,0.72,0.08,0.52,Matches,507c7bdf
192,Edimilson Fernandes,FWDF,ch Switzerland,26,1.de Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,2,3,9,0.00,0.00,0.00,0.00,0.00,0.02,0.22,0.24,0.02,0.24,Matches,3bb625ac
193,Enzo Fern?ndez,MF,ar Argentina,21,1.pt Benfica,2001,7,5,564,6.3,1,1,2,1,0,0,1,0,0.3,0.3,0.9,1.2,16,34,6,0.16,0.16,0.32,0.16,0.32,0.05,0.16,0.21,0.05,0.21,Matches,5ff4ab71
194,Jes?s Ferreira,FW,us United States,21,1.us FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f61246d8
